"naics_code","industry_name"
"211","Oil and gas extraction"
"212","Mining, except oil and gas"
"213","Support activities for mining"
"236","Construction of buildings"
"237","Heavy and civil engineering construction"
"238","Specialty trade contractors"
"311","Food manufacturing"
"313","Textile mills"
"314","Textile product mills"
"315","Apparel"
"321","Wood products"
"322","Paper and paper products"
"323","Printing and related support activities"
"324","Petroleum and coal products"
"325","Chemicals"
"326","Plastics and rubber products"
"327","Nonmetallic mineral products"
"331","Primary metals"
"332","Fabricated metal products"
"333","Machinery"
"334","Computer and electronic products"
"335","Electrical equipment and appliances"
"336","Transportation equipment"
"337","Furniture and related products"
"339","Miscellaneous durable goods manufacturing"
"423","Durable goods"
"424","Nondurable goods"
"425","Electronic markets and agents and brokers"
"441","Motor vehicle and parts dealers"
"442","Furniture and home furnishings stores"
"443","Electronics and appliance stores"
"444","Building material and garden supply stores"
"445","Food and beverage stores"
"446","Health and personal care stores"
"447","Gasoline stations"
"448","Clothing and clothing accessories stores"
"451","Sporting goods, hobby, book, and music stores"
"452","General merchandise stores"
"453","Miscellaneous store retailers"
"454","Nonstore retailers"
"481","Air transportation"
"482","Rail transportation"
"483","Water transportation"
"484","Truck transportation"
"485","Transit and ground passenger transportation"
"486","Pipeline transportation"
"487","Scenic and sightseeing transportation"
"488","Support activities for transportation"
"492","Couriers and messengers"
"493","Warehousing and storage"
"511","Publishing industries, except Internet"
"512","Motion picture and sound recording industries"
"515","Broadcasting, except Internet"
"517","Telecommunications"
"518","Data processing, hosting and related services"
"519","Other information services"
"521","Monetary authorities - central bank"
"522","Credit intermediation and related activities"
"524","Insurance carriers and related activities"
"531","Real estate"
"532","Rental and leasing services"
"533","Lessors of nonfinancial intangible assets"
"561","Administrative and support services"
"562","Waste management and remediation services"
"621","Ambulatory health care services"
"622","Hospitals"
"623","Nursing and residential care facilities"
"624","Social assistance"
"711","Performing arts and spectator sports"
"712","Museums, historical sites, and similar institutions"
"713","Amusements, gambling, and recreation"
"721","Accommodation"
"722","Food services and drinking places"
"811","Repair and maintenance"
"812","Personal and laundry services"
"813","Membership associations and organizations"
